Malang,Lawang,13287,-7.8378,112.6954
Malang,Singosari,82656,-7.8911,112.6625
Malang,Karangploso,83938,-7.8936,112.6074
Malang,Dau,68833,-7.9312,112.5855
Malang,Pujon,71310,-7.8465,112.4741
Malang,Ngantang,59946,-7.8631,112.3688
Malang,Kasembon,31992,-7.7915,112.3332

Mojokerto,Jatirejo,45380,-7.5878,112.3995
Mojokerto,Gondang,44776,-7.6041,112.4744
Mojokerto,Pacet,60944,-7.6711,112.5364
Mojokerto,Trawas,31963,-7.6631,112.5975
Mojokerto,Ngoro,86442,-7.5683,112.6241
Mojokerto,Pungging,81574,-7.5255,112.5989
Mojokerto,Kutorejo,68811,-7.5562,112.5186
Mojokerto,Mojosari,81241,-7.5144,112.5541
Mojokerto,Bangsal,53147,-7.4939,112.4795
Mojokerto,Mojoanyar,50428,-7.4786,112.4589
Mojokerto,Dlanggu,58258,-7.5511,112.4594
Mojokerto,Puri,80349,-7.5086,112.4468
Mojokerto,Trowulan,77581,-7.5614,112.3386
Mojokerto,Sooko,75354,-7.4952,112.4151
Mojokerto,Gedeg,58409,-7.4478,112.4042
Mojokerto,Kemlagi,60407,-7.4044,112.3886
Mojokerto,Jetis,88741,-7.4245,112.4674
Mojokerto,Dawar Blandong,52339,-7.3512,112.4355
